seq,timestamp,EDA_raw
197327,1780495504.180095,32
197328,1780495504.1801019,31
197329,1780495504.180104,31
197330,1780495504.180105,32
197331,1780495504.180106,32
197332,1780495504.180107,32
197333,1780495504.180108,31
197334,1780495504.180109,32
197335,1780495504.180112,32
197336,1780495504.1801128,32
197337,1780495504.180119,31
197338,1780495504.1832151,31
197339,1780495504.1832252,31
197340,1780495504.1832268,32
197341,1780495504.183228,32
197342,1780495504.183229,31
197343,1780495504.18323,33
197344,1780495504.1832309,32
197345,1780495504.183233,33
197346,1780495504.183234,33
197347,1780495504.1832352,33
197348,1780495504.185685,33
197349,1780495504.185689,32
197350,1780495504.1856902,33
197351,1780495504.1856909,31
197352,1780495504.185693,32
197353,1780495504.185694,32
197354,1780495504.185695,32
197355,1780495504.185696,32
197356,1780495504.185697,32
197357,1780495504.185698,32
197358,1780495504.185699,32
197359,1780495504.188215,33
197360,1780495504.188233,33
197361,1780495504.188234,33
197362,1780495504.188235,34
197363,1780495504.188236,31
197364,1780495504.188237,33
197365,1780495504.1882381,33
197366,1780495504.188239,32
197367,1780495504.1882398,32
197368,1780495504.188242,32
197369,1780495504.189922,31
197370,1780495504.224751,32
197371,1780495504.224759,33
197372,1780495504.22476,31
197373,1780495504.224761,31
197374,1780495504.224761,31
197375,1780495504.2247622,32
197376,1780495504.224763,32
197377,1780495504.2247639,32
197378,1780495504.2247639,32
197379,1780495504.2247648,32
197380,1780495504.224767,31
197381,1780495504.2281868,32
197382,1780495504.228189,33
197383,1780495504.22819,32
197384,1780495504.22819,31
197385,1780495504.228191,31
197386,1780495504.228192,32
197387,1780495504.228193,31
197388,1780495504.228194,32
197389,1780495504.228194,32
197390,1780495504.2281961,32
197391,1780495504.2306519,32
197392,1780495504.230654,32
197393,1780495504.230655,32
197394,1780495504.230656,33
197395,1780495504.230657,32
197396,1780495504.230658,32
197397,1780495504.230659,31
197398,1780495504.2306602,32
197399,1780495504.2306612,32
197400,1780495504.2306612,33
197401,1780495504.2306628,32
197402,1780495504.233325,32
197403,1780495504.233332,31
197404,1780495504.233344,31
197405,1780495504.233345,33
197406,1780495504.233345,32
197407,1780495504.233346,31
197408,1780495504.2333472,33
197409,1780495504.2333481,32
197410,1780495504.233349,32
197411,1780495504.233351,32
197412,1780495504.281321,33
197413,1780495504.281326,33
197414,1780495504.281327,32
197415,1780495504.2813282,30
197416,1780495504.281329,32
197417,1780495504.2813299,31
197418,1780495504.281331,33
197419,1780495504.281332,32
197420,1780495504.281342,32
197421,1780495504.281343,32
197422,1780495504.281344,32
197423,1780495504.285748,32
197424,1780495504.285752,31
197425,1780495504.285753,32
197426,1780495504.2857542,32
197427,1780495504.285755,31
197428,1780495504.2857559,32
197429,1780495504.2857568,33
197430,1780495504.2857568,32
197431,1780495504.285758,32
197432,1780495504.285759,33
197433,1780495504.2881799,32
197434,1780495504.288182,33
197435,1780495504.288183,32
197436,1780495504.288191,33
197437,1780495504.288192,32
197438,1780495504.288193,33
197439,1780495504.288193,32
197440,1780495504.288194,32
197441,1780495504.2881951,32
197442,1780495504.288196,32
197443,1780495504.288197,31
197444,1780495504.290735,32
197445,1780495504.2907379,31
197446,1780495504.290739,32
197447,1780495504.29074,31
197448,1780495504.290741,32
197449,1780495504.290741,32
197450,1780495504.290742,31
197451,1780495504.290743,33
197452,1780495504.290744,32
197453,1780495504.290745,32
197454,1780495504.2907462,32
197455,1780495504.2932532,31
197456,1780495504.293258,31
197457,1780495504.293259,32
197458,1780495504.29326,31
197459,1780495504.293261,33
197460,1780495504.293262,30
197461,1780495504.2932632,31
197462,1780495504.293264,32
197463,1780495504.293264,33
197464,1780495504.2932649,31
197465,1780495504.2932658,33
197466,1780495504.2962592,32
197467,1780495504.296261,32
197468,1780495504.2962618,32
197469,1780495504.2962618,32
197470,1780495504.296263,32
197471,1780495504.296264,33
197472,1780495504.296265,32
197473,1780495504.296266,32
197474,1780495504.296267,32
197475,1780495504.296268,33
197476,1780495504.329793,32
197477,1780495504.3298,31
197478,1780495504.3298008,32
197479,1780495504.329802,32
197480,1780495504.329803,32
197481,1780495504.329803,33
197482,1780495504.329804,33
197483,1780495504.3298051,32
197484,1780495504.329806,31
197485,1780495504.329807,32
197486,1780495504.329809,31
197487,1780495504.333257,33
197488,1780495504.33326,32
197489,1780495504.333261,32
197490,1780495504.333261,32
197491,1780495504.333262,32
197492,1780495504.3332632,31
197493,1780495504.3332639,32
197494,1780495504.3332648,32
197495,1780495504.333266,32
197496,1780495504.333267,32
197497,1780495504.333268,31
197498,1780495504.335746,33
197499,1780495504.3357508,32
197500,1780495504.335819,32
197501,1780495504.335822,32
197502,1780495504.335823,32
197503,1780495504.3358238,31
197504,1780495504.335825,32
197505,1780495504.335826,32
197506,1780495504.3358269,32
197507,1780495504.335829,33
197508,1780495504.338284,32
197509,1780495504.338287,32
197510,1780495504.338288,33
197511,1780495504.3382888,32
197512,1780495504.33829,32
197513,1780495504.338291,32
197514,1780495504.338292,33
197515,1780495504.338293,32
197516,1780495504.338294,32
197517,1780495504.338295,33
197518,1780495504.3382971,32
197519,1780495504.382278,32
197520,1780495504.382288,32
197521,1780495504.38229,32
197522,1780495504.382292,31
197523,1780495504.382293,32
197524,1780495504.382294,32
197525,1780495504.382296,32
197526,1780495504.382297,32
197527,1780495504.3822982,33
197528,1780495504.382314,31
197529,1780495504.382317,32
197530,1780495504.3862998,32
197531,1780495504.3863091,33
197532,1780495504.3863108,32
197533,1780495504.386313,32
197534,1780495504.386314,32
197535,1780495504.386316,32
197536,1780495504.386317,32
197537,1780495504.3863192,32
197538,1780495504.3863199,31
197539,1780495504.386322,32
197540,1780495504.390771,33
197541,1780495504.390777,32
197542,1780495504.390778,32
197543,1780495504.39078,32
197544,1780495504.390781,32
197545,1780495504.3907819,32
197546,1780495504.390784,31
197547,1780495504.390785,32
197548,1780495504.390786,32
197549,1780495504.390788,32
197550,1780495504.39079,33
197551,1780495504.3932002,32
197552,1780495504.393203,33
197553,1780495504.393205,33
197554,1780495504.3932061,30
197555,1780495504.393208,32
197556,1780495504.393209,32
197557,1780495504.3932102,31
197558,1780495504.3932118,33
197559,1780495504.393213,32
197560,1780495504.393226,32
197561,1780495504.393228,30
197562,1780495504.395885,32
197563,1780495504.395888,32
197564,1780495504.3958888,33
197565,1780495504.395891,32
197566,1780495504.395893,33
197567,1780495504.395894,32
197568,1780495504.395896,32
197569,1780495504.3958972,31
197570,1780495504.3958988,32
197571,1780495504.395901,31
197572,1780495504.426036,32
197573,1780495504.426047,31
197574,1780495504.42605,32
197575,1780495504.4260511,31
197576,1780495504.426053,33
197577,1780495504.426055,32
197578,1780495504.4260569,32
197579,1780495504.426059,32
197580,1780495504.42606,32
197581,1780495504.426062,32
197582,1780495504.426065,32
197583,1780495504.429527,32
197584,1780495504.4295309,32
197585,1780495504.429533,31
197586,1780495504.429535,32
197587,1780495504.429537,31
197588,1780495504.429539,32
197589,1780495504.429541,31
197590,1780495504.4295418,32
197591,1780495504.429544,32
197592,1780495504.4295459,32
197593,1780495504.4325461,32
197594,1780495504.432559,33
197595,1780495504.432639,32
197596,1780495504.4326458,32
197597,1780495504.432725,33
197598,1780495504.432729,33
197599,1780495504.432731,32
197600,1780495504.4327328,33
197601,1780495504.432736,33
197602,1780495504.432738,32
197603,1780495504.4327419,32
197604,1780495504.435882,32
197605,1780495504.43589,32
197606,1780495504.435893,32
197607,1780495504.435895,31
197608,1780495504.435897,32
197609,1780495504.4358988,32
197610,1780495504.435901,31
197611,1780495504.435904,32
197612,1780495504.435906,32
197613,1780495504.435908,33
197614,1780495504.435911,33
197615,1780495504.4661949,33
197616,1780495504.466222,32
197617,1780495504.466227,31
197618,1780495504.466229,31
197619,1780495504.466232,32
197620,1780495504.466235,32
197621,1780495504.4662368,32
197622,1780495504.46624,31
197623,1780495504.466242,32
197624,1780495504.466244,32
197625,1780495504.46625,31
197626,1780495504.469602,32
197627,1780495504.4696262,31
197628,1780495504.4696288,32
197629,1780495504.469631,31
197630,1780495504.469634,31
197631,1780495504.4696372,32
197632,1780495504.46964,32
197633,1780495504.469642,31
197634,1780495504.469645,32
197635,1780495504.46965,32
197636,1780495504.4719949,33
197637,1780495504.472002,33
197638,1780495504.4720051,32
197639,1780495504.4720068,32
197640,1780495504.47201,32
197641,1780495504.472012,33
197642,1780495504.4720151,32
197643,1780495504.472018,32
197644,1780495504.472021,32
197645,1780495504.472024,31
197646,1780495504.472028,32
197647,1780495504.474642,32
197648,1780495504.474661,32
197649,1780495504.474664,32
197650,1780495504.474667,32
197651,1780495504.474669,32
197652,1780495504.474672,31
197653,1780495504.474674,32
197654,1780495504.474677,31
197655,1780495504.474679,32
197656,1780495504.474682,32
197657,1780495504.474685,33
197658,1780495504.506428,31
197659,1780495504.506489,32
197660,1780495504.506497,31
197661,1780495504.5065038,32
197662,1780495504.506509,32
197663,1780495504.506516,32
197664,1780495504.5065238,32
197665,1780495504.5065322,32
197666,1780495504.506537,34
197667,1780495504.506546,32
197668,1780495504.510879,32
197669,1780495504.510893,32
197670,1780495504.5108962,32
197671,1780495504.5108979,33
197672,1780495504.510901,33
197673,1780495504.510904,33
197674,1780495504.5109062,32
197675,1780495504.510908,32
197676,1780495504.510911,32
197677,1780495504.5109131,32
197678,1780495504.510916,32
197679,1780495504.5133529,33
197680,1780495504.5133991,32
197681,1780495504.513403,32
197682,1780495504.513406,33
197683,1780495504.513408,32
197684,1780495504.513411,31
197685,1780495504.5134132,31
197686,1780495504.513416,32
197687,1780495504.513418,32
197688,1780495504.513421,32
197689,1780495504.5134249,31
197690,1780495504.517143,32
197691,1780495504.517163,32
197692,1780495504.5171661,33
197693,1780495504.517168,32
197694,1780495504.517171,30
197695,1780495504.517174,31
197696,1780495504.517177,32
197697,1780495504.5171788,31
197698,1780495504.5171819,32
197699,1780495504.517185,32
197700,1780495504.547323,33
197701,1780495504.547342,31
197702,1780495504.5473459,33
197703,1780495504.547349,32
197704,1780495504.547352,33
197705,1780495504.547355,31
197706,1780495504.547358,33
197707,1780495504.5473611,32
197708,1780495504.547364,32
197709,1780495504.5473669,33
197710,1780495504.547372,33
197711,1780495504.55136,31
197712,1780495504.551378,31
197713,1780495504.551381,31
197714,1780495504.551384,32
197715,1780495504.5513868,32
